"site_reach","model","mean","ci_lower","ci_upper"
"SFE-M-1S","null",0.278872087811399,0.278872087811399,0.278872087811399
"SFE-M-2","null",0.263626796579095,0.263626796579095,0.263626796579095
"SFE-M-3","null",0.329230968040496,0.329230968040496,0.329230968040496
"SFE-M-4","null",0.344591391339855,0.344591391339855,0.344591391339855
"SFE-SH-1S","null",0.324513517578466,0.324513517578466,0.324513517578466
"SFE-M-1S","w_cover",0.283729821842879,0.00976974889750674,0.86700346882232
"SFE-M-2","w_cover",0.289336549549703,0.00791432115732691,0.936552647823214
"SFE-M-3","w_cover",0.333006126141025,0.0110338666042252,0.881255776689595
"SFE-M-4","w_cover",0.275290951988559,0.0109149564502087,0.856506490325054
"SFE-SH-1S","w_cover",0.308583785839616,0.00962922050929665,0.895301641600481
"SFE-M-1S","physical_w_cover",0.262224434983461,0.00926920618793795,0.772519929468709
"SFE-M-2","physical_w_cover",0.285413051970626,0.00874622976018107,0.902038373151658
"SFE-M-3","physical_w_cover",0.30214597545175,0.0112026583644304,0.817578549396858
"SFE-M-4","physical_w_cover",0.266485267157416,0.0102141086356704,0.833174340423248
"SFE-SH-1S","physical_w_cover",0.29142030340707,0.0113887456046214,0.832101716184204
"SFE-M-1S","chemical_w_cover",0.242374703692639,0.00966828957385608,0.671622088494353
"SFE-M-2","chemical_w_cover",0.282231368705894,0.00850719987731539,0.933129690160355
"SFE-M-3","chemical_w_cover",0.263893599122138,0.00984382773047739,0.729038353590317
"SFE-M-4","chemical_w_cover",0.243482061589307,0.00927868309529292,0.679064440128987
"SFE-SH-1S","chemical_w_cover",0.279044745586888,0.0109229465063444,0.712729912319848
"SFE-M-1S","biological_w_cover",0.234091909387819,0.00905091311183856,0.659702899193869
"SFE-M-2","biological_w_cover",0.285892061402919,0.00967523353606232,0.927274392581905
"SFE-M-3","biological_w_cover",0.257475617665623,0.0105279844961736,0.701096874275431
"SFE-M-4","biological_w_cover",0.254038893253333,0.0102060042250474,0.684093466487021
"SFE-SH-1S","biological_w_cover",0.259284983514281,0.00965613851661995,0.663462945697436
"SFE-M-1S","physicochemical_w_cover",0.219527679380724,0.00836059590984454,0.614389696209037
"SFE-M-2","physicochemical_w_cover",0.266925380413274,0.00793057215943842,0.891103348718848
"SFE-M-3","physicochemical_w_cover",0.250903961447341,0.00766546866221771,0.76621784938806
"SFE-M-4","physicochemical_w_cover",0.228801292226879,0.00809435648553169,0.677846823168156
"SFE-SH-1S","physicochemical_w_cover",0.263043862284002,0.00990124146954214,0.6984741277859
"SFE-M-1S","ecohydrological_w_cover",0.246743066181543,0.0095810978834097,0.722790364459497
"SFE-M-2","ecohydrological_w_cover",0.288069986097618,0.0087550201546577,0.932428940774606
"SFE-M-3","ecohydrological_w_cover",0.273782661714989,0.00960967838739325,0.794439601531338
"SFE-M-4","ecohydrological_w_cover",0.282638931167368,0.0108260698577441,0.736991790547353
"SFE-SH-1S","ecohydrological_w_cover",0.265495874271359,0.00945093134256742,0.706545414871441
"SFE-M-1S","biochemical_w_cover",0.223849800716432,0.00874598192436278,0.641916327074551
"SFE-M-2","biochemical_w_cover",0.275337308371994,0.0086733033105519,0.905056651218739
"SFE-M-3","biochemical_w_cover",0.244657993241163,0.00907088492137969,0.703723174817911
"SFE-M-4","biochemical_w_cover",0.237715778488276,0.00851296255525372,0.674586965143771
"SFE-SH-1S","biochemical_w_cover",0.277185791366598,0.00870815035597417,0.70124761766353
"SFE-M-1S","all_w_cover",0.241208488820563,0.00907883675054116,0.675028041747768
"SFE-M-2","all_w_cover",0.28026853678006,0.00845715650340565,0.904667533280222
"SFE-M-3","all_w_cover",0.266204193679879,0.00685552413781319,0.735345161233492
"SFE-M-4","all_w_cover",0.268261953494769,0.00983298376621406,0.735215368640712
"SFE-SH-1S","all_w_cover",0.283197243805537,0.0103812753696481,0.704458146269301
